tweet_id,Count
[1039234627943194626],17
[1039234641776009217],22
[1039234667835219969],25
[1039234739037777921],14
[1039234852111962114],28
[1039235081053777921],33
[1039235115124248577],23
[1039235181486333952],17
[1039235190063857665],16
[1039235201786937344],17
[1039235282451746817],32
[1039235285056335874],16
[1039235313376419841],15
[1039235313888055297],17
[1039235383517736960],21
[1039235615752155138],26
[1039235771172044801],26
[1039235820903976960],21
[1039235833436532736],26
[1039235888990117894],22
[1039235920396922881],37
[1039236015737761792],25
[1039236053889175554],23
[1039236124537835520],19
[1039236192905048064],33
[1039236310110756870],32
[1039236316955852801],16
[1039236433678983168],25
[1039236533545562113],31
[1039236573248798721],22
[1039236721156579328],26
[1039236754396639232],36
[1039236766807609344],24
[1039236874961924100],27
[1039237078851231744],29
[1039237099608788993],29
[1039237186586116096],26
[1039237238046056455],29
[1039237309445689344],26
[1039237319235170304],21
[1039237382694989824],16
[1039237405902028806],21
[1039237423828488194],32
[1039237440345653248],37
[1039237469449990145],35
[1039237475976310785],27
[1039237493667913728],32
[1039237532725084160],26
[1039237540577009665],16
[1039237558528565248],30
[1039237603055161344],33
[1039237609380229122],31
[1039237617966034950],27
[1039237694172278784],26
[1039238177637257217],25
[1039238189842681857],31
[1039238354703925248],32
[1039238574980382720],34
[1039238579975802880],33
[1039238606307479553],27
[1039238680257458177],32
[1039238682975330306],28
[1039238959220633600],17
[1039239246626705408],19
[1039239396980142080],16
[1039239404274032640],34
[1039239454660210694],20
[1039239462121889792],20
[1039239606024265728],25
[1039239640061030400],35
[1039239780616359936],27
[1039239969141866496],30
[1039239971838808066],32
[1039239978155499521],27
[1039240008585150467],22
[1039240098565505025],33
[1039240174243332097],24
[1039240365104984064],18
[1039240372940140544],32
[1039240463436402695],26
[1039240500602200066],29
[1039240668454039554],23
[1039240736791830528],36
[1039240869688365057],25
[1039241036898418688],26
[1039241172655386626],37
[1039241293606649856],13
[1039241369385148416],20
[1039241487471534080],30
[1039241509755924481],31
[1039241600059097088],26
[1039241640328740865],29
[1039241659979055104],38
[1039241750030757888],15
[1039241900329521152],15
[1039241920185344000],21
[1039241971276148736],22
[1039242076867768320],25
[1039242082194468868],22
[1039242113911869442],16
[1039242149051723776],21
[1039242149789949954],17
[1039242164193185792],28
[1039242168186093568],17
[1039242256182665217],30
[1039242276562722817],19
[1039242404094795777],33
[1039242409652244482],20
[1039242416811720704],17
[1039242763978584064],31
[1039242783180107781],27
[1039242933252378624],29
[1039242956778156034],34
[1039242985098108930],23
[1039243013095129090],28
[1039243021450190848],33
[1039243095374749698],27
[1039243146960429056],21
[1039243222416084992],41
[1039243327034589184],26
[1039243383913492480],28
[1039243396252983296],14
[1039243450707845120],29
[1039243543636856836],24
[1039243751896494081],14
[1039243881978703872],11
[1039244017203126272],28
[1039244062430244866],32
[1039244162934091779],33
[1039244203254050818],20
[1039244209595863040],33
[1039244228935774208],28
[1039244264742551552],13
[1039244371579875329],22
[1039244373567983616],32
[1039244432409747456],23
[1039244439212969984],21
[1039244605718331392],31
[1039244613754662915],33
[1039244649205059584],31
[1039244671233519617],20
[1039244693899542528],33
[1039244806889906176],42
[1039245061249294336],17
[1039245118790946817],17
[1039245148079759360],31
[1039245202601533441],20
[1039245227414958083],27
[1039245556365676546],33
[1039245582173384706],40
[1039245584258002946],33
[1039245588146073600],35
[1039245715493584899],29
[1039245741783441408],16
[1039245762205339648],25
[1039245790605189121],23
[1039245798880497664],15
[1039245854358626305],18
[1039245899673862145],19
[1039245907806498816],34
[1039245976614055936],22
[1039246145220882437],24
[1039246170365804544],32
[1039246278100639744],70
[1039246303589556224],26
[1039246306454265856],30
[1039246331812958209],32
[1039246454492082178],16
[1039246568220749824],18
[1039246628002177025],32
[1039246873347989505],21
[1039246893518336000],30
[1039247043447771136],19
[1039247068584390656],35
[1039247289326350338],35
[1039247388152455168],24
[1039247506742235136],36
[1039247509082726400],28
[1039247791032295424],29
[1039247832564359174],21
[1039247993860440065],38
[1039248029872603136],29
[1039248144964440064],13
[1039248178783166465],18
[1039248227416072193],13
[1039248275017269255],25
[1039248334039539713],26
[1039248428755116032],15
[1039248459662995458],23
[1039248552533389313],23
[1039248751439822848],20
[1039248764672897026],27
[1039248773661306880],21
[1039248800450326529],36
[1039248970340544514],23
[1039249015639080960],37
[1039249265015566336],21
[1039249422536912903],27
[1039249442757599232],30
[1039249462252711942],23
[1039249655119405057],14
[1039249686962626565],16
[1039249690376724480],34
[1039249696487886848],28
[1039249698748616705],23
[1039249729702584320],26
[1039249741899546625],36
[1039249805556543488],24
[1039249815971028992],15
[1039249853346459654],30
[1039249913048190976],32
[1039249950226374656],65
[1039250090442014720],31
[1039250160524570624],16
[1039250163926265863],23
[1039250221476208640],22
[1039250221652500482],16
[1039250282717306881],31
[1039250312274489344],14
[1039250315135131648],23
[1039250326270959618],15
[1039250601278951424],24
[1039250639459680257],23
[1039250673160794114],18
[1039250706824404993],25
[1039250736490655745],28
[1039250760452788225],37
[1039250788286181378],29
[1039250794388840448],28
[1039250809308045322],25
[1039250903021363200],24
